,GRADE
1839,A
1840,A
1841,A
1842,C
1843,A
1844,A
1845,A
1846,B
1847,A
1848,B
1849,A
1850,A
1851,A
1852,A
1853,A
1854,B
1855,A
1856,A
1857,A
1858,A
1859,A
1860,A
1861,A
1862,A
1863,B
1864,A
1865,A
1866,A
1867,A
1868,A
1869,B
1870,A
1871,A
1872,A
1873,A
1874,A
1875,A
1876,A
1877,C
1878,C
1879,A
1880,A
1881,B
1882,A
1883,B
1884,B
1885,A
1886,A
1887,B
1888,C
1889,A
1890,B
1891,B
1892,A
1893,B
1894,A
1895,A
1896,A
1897,B
1898,A
1899,A
1900,A
1901,C
1902,A
1903,C
1904,A
1905,A
1906,B
1907,A
1908,B
1909,B
1910,A
1911,A
1912,A
1913,B
1914,B
1915,A
1916,A
1917,A
1918,A
1919,B
1920,A
1921,B
1922,A
1923,A
1924,A
1925,A
1926,A
1927,A
1928,A
1929,A
1930,A
1931,B
1932,B
1933,A
1934,B
1935,A
1936,A
1937,A
1938,A
1939,B
1940,B
1941,A
1942,A
1943,A
1944,A
1945,B
1946,A
1947,A
1948,A
1949,A
1950,A
1951,B
1952,A
1953,A
1954,A
1955,A
1956,B
1957,B
1958,A
1959,A
1960,A
1961,A
1962,B
1963,A
1964,A
1965,B
1966,A
1967,A
1968,B
1969,B
1970,B
1971,A
1972,A
1973,A
1974,A
1975,A
1976,A
1977,A
1978,A
1979,B
1980,B
1981,A
1982,A
1983,A
1984,A
1985,A
1986,C
1987,A
1988,A
1989,A
1990,B
1991,A
1992,A
1993,C
1994,B
1995,A
1996,B
1997,A
1998,A
1999,C
2000,A
2001,A
2002,C
2003,B
2004,A
2005,C
2006,A
2007,A
2008,C
2009,A
2010,A
2011,A
2012,A
2013,A
2014,B
2015,A
2016,A
2017,A
2018,A
2019,B
2020,A
2021,A
2022,A
2023,C
2024,A
2025,A
2026,A
2027,A
2028,A
2029,A
2030,A
2031,B
2032,B
2033,A
2034,A
2035,C
2036,B
2037,A
2038,B
2039,B
2040,A
2041,A
2042,C
2043,B
2044,B
2045,A
2046,A
2047,A
2048,C
2049,A
2050,A
2051,B
2052,A
2053,A
2054,A
2055,A
2056,A
2057,B
2058,A
2059,A
2060,A
2061,A
2062,A
2063,A
2064,A
2065,A
2066,A
2067,A
2068,A
2069,A
2070,A
2071,B
2072,A
2073,A
2074,A
2075,B
2076,A
2077,B
2078,A
2079,A
2080,A
2081,B
2082,A
2083,C
2084,A
2085,A
2086,C
2087,B
2088,A
2089,B
2090,A
2091,A
2092,A
2093,C
2094,A
2095,A
2096,C
2097,A
2098,A
2099,C
2100,A
2101,A
2102,C
2103,A
2104,A
2105,A
2106,A
2107,C
2108,B
2109,A
2110,B
2111,A
2112,A
2113,B
2114,B
2115,B
2116,A
2117,C
2118,C
2119,C
2120,C
2121,A
2122,A
2123,B
2124,A
2125,A
2126,C
2127,B
2128,A
2129,C
2130,C
2131,A
2132,A
2133,C
2134,A
2135,A
2136,A
2137,A
2138,B
2139,A
2140,A
2141,A
2142,A
2143,A
2144,B
2145,B
2146,A
2147,B
2148,A
2149,A
2150,A
2151,A
2152,B
2153,B
2154,A
2155,A
2156,B
2157,A
2158,A
2159,A
2160,A
2161,B
2162,A
2163,A
2164,C
2165,B
2166,A
2167,A
2168,B
2169,A
2170,A
2171,C
2172,A
2173,C
2174,A
2175,A
2176,A
2177,B
2178,A
2179,A
2180,B
2181,B
2182,C
2183,A
2184,A
2185,A
2186,B
2187,A
2188,A
2189,B
2190,B
2191,A
2192,A
2193,A
2194,C
2195,A
2196,A
2197,A
2198,A
2199,A
2200,B
2201,B
2202,A
2203,A
2204,C
2205,A
2206,A
2207,A
2208,A
2209,B
2210,A
2211,A
2212,A
2213,A
2214,A
2215,A
2216,A
2217,B
2218,A
2219,A
2220,A
2221,A
2222,A
2223,A
2224,A
2225,B
2226,A
2227,A
2228,B
2229,A
2230,C
2231,A
2232,B
2233,A
2234,A
2235,A
2236,A
2237,B
2238,A
2239,B
2240,A
2241,C
2242,A
2243,A
2244,C
2245,A
2246,B
2247,C
2248,A
2249,C
2250,B
2251,A
2252,C
2253,A
2254,A
2255,A
2256,A
2257,A
2258,A
2259,C
2260,A
2261,A
2262,A
2263,A
2264,A
2265,A
2266,B
2267,A
2268,A
2269,B
2270,A
2271,A
2272,A
2273,C
2274,A
2275,A
2276,C
2277,A
2278,A
2279,A
2280,A
2281,A
2282,A
2283,B
2284,A
2285,B
2286,A
2287,A
2288,A
2289,A
2290,C
2291,A
2292,A
2293,A
2294,B
2295,A
2296,B
2297,A
2298,C
2299,A
2300,A
2301,B
2302,B
2303,A
2304,A
2305,C
2306,A
2307,A
2308,A
2309,B
2310,A
2311,A
2312,B
2313,B
2314,B
2315,A
2316,A
2317,A
2318,B
2319,A
2320,A
2321,B
2322,B
2323,B
2324,A
2325,B
2326,A
2327,A
2328,A
2329,A
2330,A
2331,A
2332,B
2333,A
2334,A
2335,C
2336,A
2337,B
2338,A
2339,A
2340,C
2341,C
2342,A
2343,B
2344,B
2345,A
2346,A
2347,A
2348,B
2349,A
2350,A
2351,A
2352,A
2353,A
2354,A
2355,C
2356,C
2357,A
2358,A
2359,A
2360,B
2361,A
2362,A
2363,A
2364,B
2365,C
2366,B
2367,A
2368,A
2369,C
2370,A
2371,C
2372,A
2373,A
2374,B
2375,A
2376,A
2377,A
2378,A
2379,A
2380,A
2381,A
2382,B
2383,C
2384,A
2385,A
2386,B
2387,A
2388,C
2389,A
2390,A
2391,B
2392,B
2393,A
2394,A
2395,A
2396,A
2397,A
2398,C
2399,B
2400,A
2401,B
2402,A
2403,C
2404,A
2405,A
2406,A
2407,A
2408,A
2409,A
2410,A
2411,A
2412,A
2413,A
2414,C
2415,A
2416,A
2417,A
2418,A
2419,C
2420,A
2421,B
2422,B
2423,A
2424,A
2425,A
2426,A
2427,B
2428,A
2429,B
2430,A
2431,B
2432,A
2433,C
2434,A
2435,A
2436,B
2437,C
2438,B
2439,A
2440,A
2441,A
2442,B
2443,C
2444,B
2445,C
2446,A
2447,A
2448,B
2449,A
2450,B
2451,A
2452,A
2453,A
2454,A
2455,A
2456,A
2457,C
2458,C
2459,A
2460,A
2461,A
2462,B
2463,A
2464,B
2465,A
2466,B
2467,A
2468,A
2469,B
2470,C
2471,A
2472,A
2473,A
2474,C
2475,A
2476,A
2477,A
2478,B
2479,A
2480,A
2481,B
2482,A
2483,A
2484,A
2485,A
2486,A
2487,A
2488,A
2489,A
2490,A
2491,A
2492,A
2493,A
2494,A
2495,B
2496,A
2497,A
2498,A
2499,B
2500,B
2501,B
2502,A
2503,B
2504,C
2505,B
2506,A
2507,A
2508,A
2509,C
2510,A
2511,B
2512,A
2513,B
2514,A
2515,A
2516,A
2517,A
2518,A
2519,A
2520,B
2521,A
2522,C
2523,A
2524,A
2525,B
2526,A
2527,A
2528,A
2529,A
2530,B
2531,A
2532,A
2533,A
2534,A
2535,A
2536,A
2537,A
2538,C
2539,C
2540,A
2541,A
2542,A
2543,B
2544,A
2545,B
2546,B
2547,B
2548,A
2549,A
2550,A
2551,A
2552,C
2553,A
2554,A
2555,B
2556,C
2557,A
2558,C
2559,A
2560,A
2561,A
2562,A
2563,A
2564,A
2565,A
2566,B
2567,A
2568,A
2569,A
2570,A
2571,A
2572,B
2573,A
2574,C
2575,A
2576,A
2577,A
2578,A
2579,A
2580,B
2581,A
2582,A
2583,B
2584,B
2585,A
2586,A
2587,A
2588,B
2589,A
2590,A
2591,B
2592,C
2593,A
